x,y
-1.1672834710875357,-2.235723037216092
-1.1666162081814782,-2.2442169573620423
-1.1664532235236835,-2.2523094803946964
-1.1675040062781126,-2.260124343866114
-1.1681997447927146,-2.267853436643925
-1.1689759457766944,-2.2757496974415483
-1.1695967133554444,-2.284169044172013
-1.1713267695988698,-2.2920859078311975
-1.1728530201241911,-2.3002787072421795
-1.1733753994608926,-2.3084923467707186
-1.1753514003125831,-2.3162203230794796
-1.1769949542731561,-2.324396984200136
-1.1775703669556032,-2.3324093220943714
-1.179213547548346,-2.3407306003477553
-1.1807444346031524,-2.349234591285501
-1.181672975837724,-2.3573571124584216
-1.183432211622272,-2.365817521318225
-1.1851084283119138,-2.3738522600238814
-1.1862978711336858,-2.3816451702694894
-1.1871838198196825,-2.389900959331276
-1.1880513558443357,-2.3978384477013606
-1.189893744022161,-2.4051509170354635
-1.1906875194941349,-2.412776182773748
-1.1909730387267388,-2.420805226394068
-1.1930169536573167,-2.4280238830712793
-1.1935116974837108,-2.43461684282513
-1.1935427984632307,-2.441529045260729
-1.1947839400361189,-2.4480625729157546
-1.195860365543174,-2.4528026328861565
-1.1968129369838492,-2.4575562917608305
-1.1979798610115575,-2.4626717388560646
-1.1996991759573477,-2.4662827299002403
-1.2014374961410432,-2.469782270693827
-1.2023109188806536,-2.4733294483249755
-1.2040556473580024,-2.4758412315501164
-1.2059642626212634,-2.478584611798033
-1.207232074980417,-2.481252089101725
-1.207641414836281,-2.4844917834795783
-1.209662721231835,-2.4877087788488006
-1.2107709837546201,-2.4906482030597696
-1.2119794282105383,-2.4939652329120445
-1.2136579283161257,-2.497820312711171
-1.214307902424933,-2.502070750785516
-1.2147720427796846,-2.5068633288816677
-1.2154492907103862,-2.5131671968546727
-1.2165801375995247,-2.5195606522678338
-1.2176064457205775,-2.526186025710419
-1.2169352175742,-2.5348861357543115
-1.217384490920184,-2.543772479778178
-1.2182738746383899,-2.5523374924655675
-1.2171151744802782,-2.5618465241391752
-1.2164531795261198,-2.571622987466193
-1.2164691106162124,-2.58080856835093
-1.2150562958649687,-2.5893998513337855
-1.2140929316376723,-2.5985079659272747
-1.2130611986298894,-2.6074546858747305
-1.2115185378714306,-2.6148487544843757
-1.2102333918696522,-2.6226169781622835
-1.2083567931689938,-2.6305034803654785
-1.206901065317856,-2.637774132821541
-1.2054941924220939,-2.6448649383403287
-1.203590414590358,-2.652268621391273
-1.2023250050682242,-2.6593861931127725
-1.201140498047549,-2.6658402700004986
-1.1991489410861802,-2.672136821554837
-1.197670018436867,-2.6782232563737396
-1.1966670907020145,-2.6833187736488227
-1.1950063039201018,-2.688014250664476
-1.194103596613828,-2.6925354780084287
-1.1934314228614475,-2.6952736489864044
-1.192978326178348,-2.696452753031394
-1.1923218291288742,-2.698107356002913
-1.1909024353678745,-2.699094729622481
-1.1900730499282122,-2.698450123032326
-1.1893956155079952,-2.6967293217199146
-1.1883110864614599,-2.6950163955028237
-1.187821086532701,-2.692423963244939
-1.1871699991072056,-2.6881969786388344
-1.186328423776241,-2.68382789254623
