x,y
-5.025186262603109,-3.682679519250993
-5.017172709799556,-3.6777973033513023
-5.009065883720391,-3.6728165535609363
-5.001352720774601,-3.668408799321382
-4.9944137648997575,-3.663839951689116
-4.987409675478793,-3.6592058336921798
-4.9809603303183705,-3.654705148746625
-4.974942662034133,-3.6506681897264945
-4.968925108583611,-3.6469065317403366
-4.963331317673878,-3.643398146044269
-4.958234389940561,-3.6404231225428063
-4.952956079998342,-3.638011675218007
-4.948016867774784,-3.6355394140932877
-4.94355400284808,-3.633578353196849
-4.939334234468334,-3.6315840795908967
-4.935207919243315,-3.6295226154830016
-4.931543342853519,-3.627919863592354
-4.928643883288494,-3.627092373692431
-4.925521923593486,-3.626419359299443
-4.923982803215258,-3.6244003560373295
-4.92293605436768,-3.6228781404942927
-4.921617145610334,-3.6215458515474714
-4.92068138583803,-3.620618621608822
-4.920608886307031,-3.6205627601281143
-4.920750344394008,-3.6215288345194057
-4.921710617609036,-3.6232763340031147
-4.9232630813654605,-3.625657445595487
-4.924795559434839,-3.6280525798164134
-4.926940642596444,-3.6310324043768563
-4.929699791668314,-3.6346691563013236
-4.93276544791562,-3.638091740648907
-4.936966522096421,-3.642598067802529
-4.941458848816199,-3.647415956969582
-4.9462409461235985,-3.652032141662627
-4.951978393502965,-3.657604798164336
-4.957833697330057,-3.6632899574207074
-4.963882188385475,-3.668841370966624
-4.9707998290952,-3.6752598516243253
-4.9781094931106376,-3.6820759076605203
-4.985770077614254,-3.6882137207588226
-4.993356184369196,-3.6944894595075493
-5.001087291289327,-3.7009203635200563
-5.009401545656946,-3.7070381989631596
-5.017805615510199,-3.7133057929034794
-5.0258985274164445,-3.7192962526272804
-5.03321087916881,-3.7258512308874194
-5.0404146330736666,-3.7324822127497526
-5.047230449165931,-3.7387426834289834
-5.0534098624592545,-3.7458526116857
-5.059505366020292,-3.7535889815058243
-5.065164551681064,-3.760942702219655
-5.0699259469591444,-3.7689206571389056
-5.074428360762746,-3.7772258488675674
-5.07857554038521,-3.7852090487869194
-5.082176289265519,-3.7935960646527542
-5.085300620301335,-3.8023656650108966
-5.088349424480613,-3.81119897273613
-5.091277807888447,-3.819887918504102
-5.093971530664274,-3.828731284880023
-5.096531509558606,-3.8374655132284974
-5.098699934775122,-3.8457886073601406
-5.101152430978285,-3.8544188872819354
-5.102734055039745,-3.8640708544637983
-5.104254899776495,-3.8736378528034656
-5.105971239968045,-3.883686250916823
-5.107495297360223,-3.893859259946674
-5.108706719373703,-3.9037271212762317
-5.109620432961015,-3.9132721305312
-5.110838702193184,-3.92260222393517
-5.112272465593875,-3.932133867031851
-5.113525169669295,-3.9414680716721624
-5.115184170024494,-3.950518745304336
-5.117055544975262,-3.959769059250168
-5.118560025245847,-3.968336697338426
-5.1205126521698565,-3.976777575441349
-5.122181768698803,-3.984956439388232
-5.123585859503819,-3.9928509059665376
-5.1256374310012385,-4.000928232692637
-5.127906175263411,-4.00880035711956
-5.129958398498376,-4.01644071112784
-5.132575795450635,-4.024171330026608
-5.135036332989147,-4.031760138054691
-5.137419015017908,-4.038908155396861
-5.14061692373086,-4.046358097558543
-5.1422862402680405,-4.0551289698302355
-5.143970635068697,-4.06392649392723
-5.145972632645666,-4.072507529626995
-5.148217624869878,-4.081291547939629
-5.150532182937744,-4.090166869427544
-5.152311658839391,-4.099860912848504
-5.154508206842043,-4.10974992622506
