x,y
-4.4598405093067965,-2.9259625723031712
-4.465149808639619,-2.929725874664131
-4.470813812149113,-2.9338240535328555
-4.476310841157271,-2.9377712404992815
-4.481908269433725,-2.9414358050284513
-4.487400777603568,-2.945019447987058
-4.492399185636377,-2.9489681602059874
-4.497161091574284,-2.9526607563928056
-4.500708627875851,-2.956584944473537
-4.504321193551472,-2.960887529050427
-4.507415376475627,-2.9657389980386677
-4.510091437687416,-2.970195557921744
-4.512623479541553,-2.974540483765459
-4.515257851089616,-2.978423882726615
-4.516959843468912,-2.981388633048523
-4.518583274697157,-2.9844241884423144
-4.519552442107436,-2.9868708576675256
-4.521663020331248,-2.9876797002075977
-4.523572280827472,-2.988759722853809
-4.525094132547336,-2.9890585249080623
-4.526268478743888,-2.9893982990174326
-4.527368060483547,-2.989665615202388
-4.52824781407599,-2.9895791094511734
-4.528633009143679,-2.989006368403304
-4.5292537110090585,-2.9886563017029086
-4.530031633119486,-2.9880956796912788
-4.530608721841976,-2.987522448036352
-4.530780401778538,-2.986566232026365
-4.530822494371409,-2.985326381098182
-4.53071143122082,-2.9837836409630873
-4.530452012565411,-2.9820178947672864
-4.5302087586843784,-2.980269727946493
-4.5300564663818035,-2.9784550907489518
-4.529815660848647,-2.9765569428141863
-4.52916556081853,-2.974216058427373
-4.5287008060516785,-2.971739487650167
-4.528187994275068,-2.9692175498598474
-4.527539909612097,-2.966549232529858
-4.527346134155743,-2.963387324595224
-4.527416858483694,-2.9603899217511893
-4.5275884432559135,-2.9574143541862434
-4.527583321687679,-2.9542473868338632
-4.527519073838334,-2.9511236701632253
-4.527146055113413,-2.9477085005135244
-4.526656234175355,-2.9441667718687285
-4.526236939239487,-2.9405732397254294
-4.525651161368774,-2.9368083907950804
-4.525126077178465,-2.933145692377978
-4.5242249530549365,-2.9293682152595086
-4.523183432558296,-2.925458260126569
-4.522100633218874,-2.921618556160597
-4.520775722432142,-2.9176520884917805
-4.519058758615488,-2.9133159682131025
-4.517518796074117,-2.9091259367501454
-4.515415236500861,-2.9047164396136784
-4.513277502407294,-2.9002551263198795
-4.511173927394171,-2.8957685300851614
-4.509017103425237,-2.891224086213337
-4.506519833539575,-2.886358805653816
-4.504041741120318,-2.8810365695340843
-4.5016947893771295,-2.8753033057153465
-4.499324941253327,-2.8695483367246704
-4.4969267328916125,-2.8637964561681355
-4.493741096109468,-2.858664940585944
-4.490464168666205,-2.8534341301144663
-4.487351336962309,-2.8480681664829826
-4.483977418076601,-2.8423941050257127
-4.480479258319464,-2.8365848875161057
-4.477134066356926,-2.830537664697924
-4.4736344974572555,-2.824726579175872
-4.470085479053494,-2.818861550577113
-4.466995265155243,-2.812757778410314
-4.46368953831048,-2.8065970451579534
-4.460477432074331,-2.8005377773032896
-4.457631562561051,-2.793872620673938
-4.454619602694856,-2.7874030047152756
-4.451624193183831,-2.7809509813421855
-4.4490688347759,-2.774413004950422
-4.446450597945633,-2.7679482065262166
-4.443865853772866,-2.7615193027074887
-4.441681449114869,-2.7549533199271905
-4.439357609596354,-2.7482498773091617
-4.437059371735689,-2.7417006803149744
-4.435194238321446,-2.7348299540117726
-4.433742589266757,-2.7283728551844706
-4.432613814777527,-2.7216744376221245
-4.4318250787027385,-2.715320771825574
-4.431128473342138,-2.7090554075156863
-4.430406194620658,-2.7029618667563344
-4.429616502115733,-2.6968868333219747
-4.429034176888558,-2.6910051383842495
-4.428837813913541,-2.6850119546247346
-4.428864437495751,-2.678986713218076
-4.429329435400385,-2.6733708374911203
-4.430235092659912,-2.667461718619292
-4.431156701282532,-2.6615673351255396
-4.4324069077172155,-2.6559946219567876
-4.433899491838531,-2.650239594366867
-4.435647886742348,-2.6447620431365686
-4.437808029190338,-2.6396676515314423
-4.4402556675903035,-2.6343574354024883
-4.443159637047025,-2.6295442342157456
-4.446402643166348,-2.6251027973717016
-4.449824601001032,-2.620901517903113
-4.454472009488771,-2.6158859040744353
-4.459244215566283,-2.61095440027813
-4.4644192169015895,-2.6062703055778975
-4.470356055033787,-2.6024206940147665
-4.476643816768134,-2.598926393302761
-4.483623993381648,-2.596273248662234
-4.491050813695576,-2.5946654434683802
-4.498639832820366,-2.593219508599262
-4.50705877198927,-2.592475109658848
-4.516794301888259,-2.5931443186080223
-4.526826096982227,-2.59388174386516
-4.537727266928295,-2.595718488332482
-4.5499599845262,-2.5989708034273233
-4.5625726025507864,-2.602203313601188
-4.575760546708617,-2.606353847983606
-4.58985266443392,-2.6115151592702817
-4.604772814912813,-2.616368745977999
-4.62034859991587,-2.6225044039601917
-4.636871704831461,-2.629664563464205
-4.654193622455967,-2.6365454357906866
-4.671437809338531,-2.644396863006713
-4.6896894974893,-2.6531837266426352
-4.70895324687392,-2.6613534491327924
-4.728234517764696,-2.6700981851410743
-4.748336877091619,-2.6796039944658525
-4.769835715444102,-2.6876450579735978
-4.79197422475623,-2.6952132621790765
-4.813962243331429,-2.702595674103797
-4.8366542159862105,-2.710611828210494
-4.8596635440880585,-2.718542693847137
-4.882302071570315,-2.7261048906355576
-4.904721662329847,-2.733886089265127
-4.927081542182902,-2.7413958496823287
-4.949047227359467,-2.748477516428427
-4.970714428254116,-2.7556516512836775
-4.991976553245994,-2.763153028839216
-5.012939468823104,-2.7703741909979223
-5.033272436636164,-2.7775029099457518
-5.0532137734608416,-2.784783919061456
-5.072736672551854,-2.7916324962670793
-5.091325874427372,-2.7983315015382266
-5.1095080508445045,-2.8052966551622918
-5.12730502705894,-2.811849780900923
-5.144513952429129,-2.8182372863278036
-5.161183887303095,-2.824482190825507
-5.176889209065824,-2.829842083605817
-5.19221925655423,-2.835205073692928
-5.2069821942337144,-2.840464337555832
-5.22244384523948,-2.8446349541969758
-5.237506073804802,-2.848399728778183
-5.251880588964551,-2.8535458165167595
-5.26588497441118,-2.858955552155728
-5.279387513815189,-2.8639066829079938
-5.292334267309652,-2.86822995490296
